plant,oc_ext_12m,lineas_12m,proveedores_12m,ult_oc_ext,oc_ext_24m,traslados_12m,ventana_desde,ventana_hasta,extraido
M426,94,758,6,2026-09-14,188,559,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M427,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M428,231,2132,13,2026-09-23,453,763,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M429,4,28,4,2026-06-15,7,56,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M430,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M431,122,1186,10,2026-09-21,237,436,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M432,1,4,1,2026-04-29,2,15,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M433,2,5,2,2026-04-29,3,19,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M434,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M435,256,3109,11,2026-09-21,508,1269,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M436,1,9,1,2026-01-26,3,132,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M437,3,9,2,2026-05-25,6,235,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M438,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M439,219,2312,12,2026-09-17,462,1145,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M440,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M441,10,160,3,2026-07-28,25,442,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M442,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M443,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M444,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M501,305,2731,16,2026-09-24,564,1805,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M502,3,12,3,2026-09-23,7,396,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M503,2,6,2,2026-02-10,7,2156,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M504,313,2035,5,2026-09-22,588,258,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M505,273,2244,15,2026-09-24,624,1067,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M506,7,27,5,2026-07-17,15,263,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M507,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M508,178,1461,11,2026-09-18,406,537,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M509,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M510,2,15,2,2026-01-26,9,175,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M511,131,1083,10,2026-09-14,328,1074,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M512,214,1688,15,2026-09-24,425,418,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M513,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M514,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M515,268,2299,14,2026-09-24,539,523,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M516,3,28,2,2026-02-10,5,119,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M517,163,906,3,2026-09-18,315,169,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M518,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M519,272,2358,12,2026-09-24,489,1367,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M520,4,11,4,2026-03-26,7,407,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M521,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M522,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M523,154,878,5,2026-09-24,323,663,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M524,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M525,1,1,1,2025-11-24,2,2,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M526,3,18,3,2026-07-17,4,194,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M527,340,3780,17,2026-09-24,703,2111,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M528,4,61,3,2026-05-06,10,1,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M529,3,14,3,2026-07-17,3,2,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M530,3,62,3,2026-04-15,6,1,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M531,2,10,2,2026-01-23,5,13,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M532,3,60,3,2026-04-15,6,1,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M533,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M534,2,11,2,2026-01-23,5,94,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M535,0,0,0,,0,0,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M536,331,3097,16,2026-09-22,626,2433,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M537,273,2280,15,2026-09-22,510,559,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
M538,296,2112,7,2026-09-22,617,231,2025-09-25,2026-09-25,2026-09-25T05:57:47+00:00
